epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1056.91,1.23686,2.26168,1.4851,0.33463,0.68421,0.45836,0.28394,1.38984,2.01675,1.62943,0.000475723,0.000475723,0.000475723
2,2123.09,1.29699,1.73433,1.49835,0.35572,0.765,0.49863,0.32595,1.14135,1.53573,1.44981,0.000920639,0.000920639,0.000920639
3,3204.55,1.26975,1.58292,1.47956,0.59897,0.64553,0.6363,0.43247,1.12359,1.29175,1.48013,0.00133412,0.00133412,0.00133412
4,4286.04,1.23467,1.48808,1.44792,0.53809,0.6888,0.61127,0.42677,1.06128,1.22774,1.38593,0.00128753,0.00128753,0.00128753
5,5375.89,1.17936,1.39126,1.39946,0.62782,0.78501,0.73298,0.52334,1.01875,1.05843,1.35763,0.00124037,0.00124037,0.00124037
6,6457.63,1.16054,1.30735,1.39529,0.69804,0.73125,0.77031,0.56322,0.94895,0.9721,1.30348,0.00119322,0.00119322,0.00119322
7,7547.2,1.12836,1.24265,1.37228,0.71492,0.77001,0.78506,0.58718,0.85734,0.88609,1.27493,0.00114606,0.00114606,0.00114606
8,8642.06,1.11949,1.19141,1.37296,0.75501,0.81884,0.79296,0.6039,0.88468,0.85085,1.27321,0.0010989,0.0010989,0.0010989
9,9711.2,1.0843,1.1306,1.34421,0.78508,0.75256,0.81995,0.61339,0.94239,0.88621,1.28477,0.00105174,0.00105174,0.00105174
10,10785.7,1.07325,1.08585,1.33305,0.7298,0.72279,0.8071,0.60301,0.92788,0.99133,1.27679,0.00100459,0.00100459,0.00100459
11,11875.9,1.06503,1.05849,1.32788,0.79918,0.77748,0.84105,0.64837,0.8271,0.74611,1.24884,0.00095743,0.00095743,0.00095743
12,12959.2,1.04712,1.02751,1.3259,0.7687,0.82903,0.84803,0.65636,0.81905,0.80586,1.22891,0.000910273,0.000910273,0.000910273
13,14041.9,1.02697,0.98814,1.30546,0.81914,0.81342,0.85471,0.66726,0.80634,0.70836,1.20437,0.000863116,0.000863116,0.000863116
14,15132.4,1.01524,0.96864,1.3059,0.78782,0.8434,0.86136,0.6569,0.88115,0.69208,1.24423,0.000815959,0.000815959,0.000815959
15,16216.8,1.00254,0.92729,1.28559,0.83719,0.75066,0.84754,0.65937,0.80732,0.72317,1.19915,0.000768802,0.000768802,0.000768802
16,17337.5,0.98697,0.89384,1.27633,0.76759,0.84585,0.85487,0.67082,0.8022,0.69313,1.19469,0.000721645,0.000721645,0.000721645
17,18429.8,0.97756,0.86297,1.26681,0.85183,0.80242,0.86752,0.68516,0.76414,0.67205,1.1791,0.000674488,0.000674488,0.000674488
18,19511.1,0.98116,0.87032,1.27841,0.78813,0.83886,0.86548,0.66833,0.80847,0.7419,1.19112,0.000627331,0.000627331,0.000627331
19,20594.9,0.96608,0.8282,1.26341,0.81431,0.87519,0.87965,0.68448,0.83027,0.63335,1.19893,0.000580174,0.000580174,0.000580174
20,21694.9,0.96384,0.81279,1.25987,0.82616,0.83746,0.86396,0.66842,0.82694,0.68685,1.20675,0.000533017,0.000533017,0.000533017
21,22779.6,0.77964,0.51621,1.16846,0.80236,0.87648,0.87639,0.69577,0.75519,0.64247,1.15828,0.00048586,0.00048586,0.00048586
22,23851.4,0.76257,0.48419,1.16173,0.88039,0.83703,0.87506,0.7079,0.75613,0.61582,1.16036,0.000438703,0.000438703,0.000438703
23,24923.6,0.74994,0.45967,1.15097,0.88225,0.81493,0.87975,0.71853,0.71802,0.61336,1.14505,0.000391546,0.000391546,0.000391546
24,25997,0.73475,0.43483,1.13195,0.87898,0.83059,0.88501,0.70195,0.74858,0.63968,1.17045,0.000344389,0.000344389,0.000344389
25,27069.3,0.71958,0.41107,1.12769,0.83035,0.87845,0.8908,0.70785,0.76932,0.61602,1.16567,0.000297232,0.000297232,0.000297232
26,28136.9,0.70324,0.39524,1.10849,0.83967,0.83327,0.85548,0.68197,0.72903,0.63716,1.14112,0.000250075,0.000250075,0.000250075
27,29211.4,0.69153,0.37226,1.10479,0.84957,0.83748,0.87529,0.70425,0.73903,0.5997,1.16529,0.000202918,0.000202918,0.000202918
28,30293.4,0.68223,0.35418,1.09656,0.84709,0.88305,0.88173,0.71455,0.72395,0.57911,1.16483,0.000155761,0.000155761,0.000155761
29,31369.7,0.66856,0.34532,1.08833,0.87928,0.843,0.8773,0.69449,0.75379,0.611,1.17314,0.000108604,0.000108604,0.000108604
30,32435.3,0.66372,0.33012,1.08017,0.88787,0.84795,0.87962,0.69755,0.75523,0.59428,1.17,6.1447e-05,6.1447e-05,6.1447e-05
